,champion_f_score,config_id,crossover_method,log_file,mutation_method,mutation_probability,num_protected_elite_models,number_generations,number_possible_models,number_sites,number_terms,resources,selection_method,starting_population_size,relative_resources,ResourceRequirement,true_found
0,0.5,2.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.0,1.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
1,0.6,7.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,2.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
2,1.0,1.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.0,0.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,True
3,0.8,5.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,0.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
4,0.923076923076923,6.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
5,0.7499999999999999,3.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.0,2.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
6,0.8571428571428571,4.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.0,3.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
7,0.6666666666666665,10.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.25,1.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
8,0.8571428571428571,8.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,3.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
9,0.923076923076923,11.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.25,2.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
10,0.8750000000000001,14.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.33,1.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
11,0.7272727272727273,12.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.25,3.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
12,0.5,13.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.33,0.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
13,0.6666666666666665,15.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.33,2.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
14,0.6,16.0,one_point,/home/bf16951/QMD/Scripts/genetic_alg_param_sweep/output.log,element_wise,0.33,3.0,4.0,1024.0,5.0,10.0,40.0,roulette,4.0,0.0023674242424242425,low,False
