,champion_f_score,config_id,crossover_method,log_file,mutation_method,mutation_probability,num_protected_elite_models,number_generations,number_possible_models,number_sites,number_terms,resources,selection_method,starting_population_size,unchanged_elite_num_generations_cutoff,relative_resources,ResourceRequirement,true_found
0,0.923076923076923,5.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,8704.0,roulette,16.0,3.0,0.25757575757575757,medium-low,False
1,0.9655172413793104,1.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,2176.0,roulette,16.0,3.0,0.06439393939393939,low,False
2,1.0,1.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,2176.0,roulette,16.0,3.0,0.06439393939393939,low,True
3,1.0,3.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,4352.0,roulette,16.0,3.0,0.12878787878787878,low,True
4,1.0,3.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,4352.0,roulette,16.0,3.0,0.12878787878787878,low,True
5,0.9523809523809523,5.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,8704.0,roulette,16.0,3.0,0.25757575757575757,medium-low,False
6,0.972972972972973,1.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,2176.0,roulette,16.0,3.0,0.06439393939393939,low,False
7,0.9473684210526316,4.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,16896.0,roulette,32.0,3.0,0.5,medium-high,False
8,1.0,2.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,8448.0,roulette,32.0,3.0,0.25,low,True
9,1.0,4.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,16896.0,roulette,32.0,3.0,0.5,medium-high,True
10,1.0,3.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,4352.0,roulette,16.0,3.0,0.12878787878787878,low,True
11,0.9655172413793104,5.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,8704.0,roulette,16.0,3.0,0.25757575757575757,medium-low,False
12,1.0,6.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,33792.0,roulette,32.0,3.0,1.0,high,True
13,1.0,2.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,8448.0,roulette,32.0,3.0,0.25,low,True
14,0.962962962962963,1.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,2176.0,roulette,16.0,3.0,0.06439393939393939,low,False
15,1.0,3.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,4352.0,roulette,16.0,3.0,0.12878787878787878,low,True
16,1.0,6.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,33792.0,roulette,32.0,3.0,1.0,high,True
17,1.0,5.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,8704.0,roulette,16.0,3.0,0.25757575757575757,medium-low,True
18,1.0,2.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,8448.0,roulette,32.0,3.0,0.25,low,True
19,1.0,4.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,16896.0,roulette,32.0,3.0,0.5,medium-high,True
20,0.9714285714285714,1.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,2176.0,roulette,16.0,3.0,0.06439393939393939,low,False
21,1.0,6.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,33792.0,roulette,32.0,3.0,1.0,high,True
22,1.0,3.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,4352.0,roulette,16.0,3.0,0.12878787878787878,low,True
23,1.0,5.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,8704.0,roulette,16.0,3.0,0.25757575757575757,medium-low,True
24,0.975609756097561,1.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,2176.0,roulette,16.0,3.0,0.06439393939393939,low,False
25,1.0,2.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,8448.0,roulette,32.0,3.0,0.25,low,True
26,0.9523809523809523,6.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,33792.0,roulette,32.0,3.0,1.0,high,False
27,1.0,4.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,16896.0,roulette,32.0,3.0,0.5,medium-high,True
28,1.0,3.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,4352.0,roulette,16.0,3.0,0.12878787878787878,low,True
29,0.9743589743589743,5.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,8704.0,roulette,16.0,3.0,0.25757575757575757,medium-low,False
30,1.0,2.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,8448.0,roulette,32.0,3.0,0.25,low,True
31,1.0,6.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,33792.0,roulette,32.0,3.0,1.0,high,True
32,1.0,1.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,2176.0,roulette,16.0,3.0,0.06439393939393939,low,True
33,1.0,2.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,8448.0,roulette,32.0,3.0,0.25,low,True
34,1.0,3.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,4352.0,roulette,16.0,3.0,0.12878787878787878,low,True
35,1.0,5.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,8704.0,roulette,16.0,3.0,0.25757575757575757,medium-low,True
36,1.0,4.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,16896.0,roulette,32.0,3.0,0.5,medium-high,True
37,0.9655172413793104,1.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,2176.0,roulette,16.0,3.0,0.06439393939393939,low,False
38,1.0,3.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,4352.0,roulette,16.0,3.0,0.12878787878787878,low,True
39,1.0,4.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,16896.0,roulette,32.0,3.0,0.5,medium-high,True
40,1.0,6.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,33792.0,roulette,32.0,3.0,1.0,high,True
41,1.0,5.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,8704.0,roulette,16.0,3.0,0.25757575757575757,medium-low,True
42,1.0,2.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,8448.0,roulette,32.0,3.0,0.25,low,True
43,1.0,6.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,33792.0,roulette,32.0,3.0,1.0,high,True
44,0.9523809523809523,1.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,16.0,268435456.0,8.0,28.0,2176.0,roulette,16.0,3.0,0.06439393939393939,low,False
45,1.0,4.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,16896.0,roulette,32.0,3.0,0.5,medium-high,True
46,1.0,3.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,4352.0,roulette,16.0,3.0,0.12878787878787878,low,True
47,1.0,5.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,64.0,268435456.0,8.0,28.0,8704.0,roulette,16.0,3.0,0.25757575757575757,medium-low,True
48,1.0,4.0,one_point,/home/bf16951/QMD/scripts/genetic_alg_param_sweep/output.log,element_wise,0.1,1.0,32.0,268435456.0,8.0,28.0,16896.0,roulette,32.0,3.0,0.5,medium-high,True
